id,sentence,difficulty
0,"Je m’appelle David, j’ai 29 ans.",B1
1,Je vis avec ma petite amie dans un petit appartement à Paris.,B1
2,J’ai deux frères et je suis le « numéro deux » de la famille.,B1
3,Ma grande sœur a 34 ans et s’appelle Juliette.,B1
4,Mon petit frère a 21 ans et s’appelle Pierre.,B1
5,Elle part souvent à l’étranger pour ses concerts.,B1
6,"Pierre est étudiant à Rouen, il étudie l’économie.",B1
7,Mais il ne sait pas encore ce qu’il veut faire plus tard.,B1
8,"Je le comprends, c’est difficile de savoir ce qu’on veut faire dans la vie !",B1
9,J’ai aussi un petit chat : Pierrot.,B1
10,Je le considère comme un membre de la famille.,B1
11,"Il est très gentil et adore dormir, comme tous les chats.",B1
12,C’est le plus beau de tous les chats du monde.,B1
13,"En ce moment, je travaille en semaine comme vendeur dans une boulangerie parisienne.",B1
14,"Les journées passent vite, car il y a beaucoup de clients.",B1
15,"Parfois je travaille le matin, parfois je travaille le soir.",B1
16,"Mes collègues sont sympas, mais mon travail ne m’intéresse pas beaucoup.",B1
17,J’économise de l’argent pour m’installer en Normandie avec ma petite amie.,B1
18,La vie est moins chère à la campagne et les gens sont très chaleureux et accueillants.,B1
19,"Par contre, il fait beaucoup plus froid.",B1
20,Je veux aussi créer ma propre boîte et travailler à mon compte.,B1
21,"Mais il me manque encore l’idée, je ne sais pas dans quoi me lancer.",B1
22,"Le week-end, je me lève tard, car j’aime faire la grasse matinée.",B1
23,J’aime bien prendre mon temps en me réveillant.,B1
24,Je prends toujours un petit déjeuner copieux avec un bon café.,B1
25,Je ne peux pas commencer ma journée sans mon café du matin.,B1
26,"Puis, pendant la journée, j’aime écouter de la musique, lire un livre ou regarder des films.",B1
27,Je sors souvent le samedi soir avec des amis pour aller au restaurant ou pour boire un verre.,B1
28,Le dimanche après-midi j’aime bien lire dans le salon.,B1
29,"Puis, je fais souvent des jeux de société avec ma petite amie le soir avant de dormir.",B1
30,Léo vient de trouver un travail à Rouen.,B1
31,Il a reçu une promesse d’embauche pour un CDI.,B1
32,Il cherche un appartement à Rouen pour pouvoir travailler sur place.,B1
33,Il a trouvé une annonce intéressante sur internet.,B1
34,Il appelle l’agence « Immobilier Très Cher ».,B1
35,"Bonjour, j’appelle pour l’annonce d’un appartement posté sur votre site internet.",B1
36,J’aimerais savoir s’il est toujours disponible.,B1
37,Ce serait pour le T2 de 42 m2 au 4 rue Saint Laurent.,B1
38,"L’agent immobilier : Bien sûr, je vais regarder ça tout de suite.",B1
39,Avez-vous les références de l’annonce ?,B1
40,Ma mère m’a dit que tu allais visiter Paris avec Georgia de lundi à mercredi.,B1
41,"Trois jours, c’est parfait pour bien visiter Paris !",B1
42,Voici donc l’itinéraire que je vous conseille.,B1
43,"D’abord, je vous conseille de presque tout faire à pied, Paris est une ville faite pour la marche.",B1
44,"Si vous prenez les transports en commun, prenez plutôt le bus.",B1
45,"Comme ça, vous pourrez profiter de la vue contrairement au métro.",B1
46,"Je sais que tu rêves de voir les Champs-Élysées, alors je vous conseille de commencer par là.",B1
47,Vous pourrez monter en haut de l’Arc de Triomphe.,B1
48,"Ensuite, vous pourrez marcher jusqu’au Louvre.",B1
49,"Pour y aller, c’est facile : c’est tout droit.",B1
50,"Si vous voulez visiter le Musée du Louvre, je vous conseille de réserver vos places sur internet, comme ça, vous ferez la queue moins longtemps (30 minutes maximum).",B1
51,"Attention, presque tous les musées sont fermés le mardi à Paris !",B1
52,"Du coup, pour mardi, je vous conseille d’aller en haut de la tour Eiffel.",B1
53,Elle est ouverte tous les jours de l’année.,B1
54,C’est un grand classique à ne pas manquer.,B1
55,"Ensuite, vous pourrez longer les quais de Seine jusqu’à la Cathédrale de Notre-Dame.",B1
56,"Malgré l’incendie, la façade de devant reste très belle.",B1
57,"Il y a aussi des restaurants sympas et pas chers dans le quartier Saint-Michel, juste à côté.",B1
58,"Si vous avez encore du temps, je vous conseille de visiter l’intérieur du Panthéon.",B1
59,"C’est mon bâtiment préféré de Paris, il est aussi ouvert le mardi.",B1
60,"À l’intérieur, vous aurez l’impression d’être dans le jeu vidéo « Bioshock ».",B1
61,Il y a notamment une statue avec une citation que j’adore : « vivre libre ou mourir ».,B1
62,"Pour le dernier jour, je vous conseille d’aller à Montmartre pour voir la Basilique du Sacré-Cœur.",B1
63,"Pour le reste, laissez-vous porter par la ville et marchez au hasard, vous serez rarement déçus.",B1
64,Je crois que j’ai toujours aimé les jeux vidéo.,B1
65,Je me rappelle encore d’avoir été émerveillé devant le jeu « Tetris » que m’avait montré mon oncle quand j’étais petit.,B1
66,"À l’époque, je ne pensais pas que les jeux vidéo allaient évoluer comme ça !",B1
67,"Aujourd’hui, les graphismes sont tellement bien faits qu’on a l’impression de regarder des films.",B1
68,C’est parfois difficile de faire la différence entre un jeu vidéo et la réalité.,B1
69,"Maintenant, il y en a vraiment pour tous les goûts.",B1
70,"Un jeu vidéo peut nous faire rire, nous détendre, nous faire vivre une histoire incroyable ou même nous faire peur.",B1
71,"Pour moi, certains jeux vidéo sont de vraies œuvres d’art qui nous transportent dans des univers insolites.",B1
72,Certains d’entre eux sont même philosophiques et m’ont fait me poser beaucoup de questions.,B1
73,Les jeux qui m’ont le plus marqué sont « Half-Life 2 » et « Bioshock ».,B1
74,« Half-Life 2 » parce que je n’avais jamais vu des graphismes et une ambiance aussi incroyable de toute ma vie.,B1
75,Je me rappelle d’avoir essayé le jeu chez un ami et d’avoir vraiment eu très peur pendant que j’essayais le niveau dans un village abandonné.,B1
76,"Le deuxième jeu qui m’a le plus marqué, c’est « Bioshock ».",B1
77,Je ne peux que vous conseiller d’y jouer.,B1
78,"C’est une véritable expérience dans un univers dystopique, mais en même temps crédible.",B1
79,L’histoire se passe dans une citée sous-marine dans les années 60 dans une ambiance très glauque et très malsaine.,B1
80,"Je ne préfère pas vous en dire plus, mais vous pouvez y jouer les yeux fermés.",B1
81,"Un jour, j’en suis sûr, certains jeux vidéo seront exposés dans des musées.",B1
82,"Aujourd’hui, je n’ai rien fait de ma journée et je ne me sens pas coupable.",B1
83,"La veille, j’avais mis mon réveil à 10h parce que j’en avais marre de me lever tôt le matin.",B1
84,"Quand je me suis réveillé, j’ai décidé de dormir une heure de plus.",B1
85,Je me suis donc levé vers 11h/11h30.,B1
86,J’ai commencé par me réchauffer le reste du café que j’avais préparé la veille.,B1
87,Je l’ai bu en pyjama assis sur mon canapé sans rien faire.,B1
88,"Puis, je suis allé prendre une douche et je me suis préparé un autre café.",B1
89,"Il était environ 13h et je commençais à avoir faim, car je n’avais pas pris de petit déjeuner.",B1
90,"Comme je n’avais pas envie de me préparer un repas, je suis allé au restaurant indien à côté de chez moi où j’ai pris un menu à emporter.",B1
91,Je me suis régalé en mangeant mon plat indien devant la série « Le bureau des légendes » que m’avait recommandé un ami.,B1
92,"C’est une série qui parle d’agents de la DGSE, les services secrets français.",B1
93,J’ai vraiment accroché et j’ai regardé les trois premiers épisodes à la suite.,B1
94,"Ensuite, je suis sorti cinq minutes dehors pour me dégourdir un peu les jambes.",B1
95,"Comme il pleuvait, je me suis dit que c’était une très bonne excuse pour retourner chez moi et regarder quelques épisodes de plus de ma série.",B1
96,C’est ce que j’ai fait.,B1
97,"Vers 19h00, je me suis préparé une pizza congelée au four.",B1
98,Cette fameuse pizza que j’appelle « la pizza de la flemme » que je garde toujours de côté pour ces jours où je décide de ne rien faire du tout.,B1
99,"Après le dîner, j’ai joué aux jeux vidéo jusqu’à environ 2h du matin avant d’aller me coucher.",B1
100,"Cette fois-ci, j’ai quand même mis mon réveil à 8h00, car demain je retourne au travail.",B1
101,Un des films d’horreur qui m’a le plus marqué est « Shining » de Stanley Kubrick.,B1
102,Je me rappelle encore d’être tombé dessus par hasard un soir à la télévision.,B1
103,Je devais avoir 12 ou 13 ans et j’étais seul chez ma grand-mère.,B1
104,J’ai vraiment eu très peur pendant l’intégralité du film.,B1
105,J’étais partagé entre l’envie d’éteindre la télé pour ne plus avoir peur et l’envie de connaître la fin de l’histoire.,B1
106,J’ai quand même réussi à le regarder jusqu’au bout.,B1
107,"À l’époque, je ne connaissais pas Stanley Kubrick et je ne savais pas que ce film était un grand classique du cinéma d’horreur.",B1
108,Je comprends mieux aujourd’hui pourquoi il a mérité ce titre.,B1
109,Il fait quand même partie de ces films dont je me rappelle précisément des circonstances dans lesquelles je l’ai vu.,B1
110,Je ne sais pas vraiment comment le réalisateur fait pour nous tenir en haleine du début à la fin.,B1
111,"En tout cas, c’est vraiment bien fait.",B1
112,"Je me rappelle avoir vu, il y a longtemps, une analyse du film sur YouTube.",B1
113,Cette analyse expliquait que Kubrick s’est arrangé pour filmer les différentes pièces du manoir de façon surréaliste.,B1
114,"Ainsi, on ne s’en rend pas compte consciemment, mais les personnages tournent en rond comme dans un labyrinthe qui défie les lois de la physique.",B1
115,Ils sont vraiment prisonniers de la maison.,B1
116,"Quand un personnage devrait se retrouver dans un couloir, il se retrouve dans une autre pièce.",B1
117,"Quand un personnage tourne à droite, il se retrouve dans une autre pièce à gauche, et ainsi de suite.",B1
118,On ne sait pas vraiment si Kubrick l’a fait volontairement ou non.,B1
119,Mais tout porte à croire que c’est volontaire.,B1
120,C’est comme ça qu’on reconnaît les vrais bons films d’horreur.,B1
121,"Ce sont ceux qui se concentrent sur des détails pour nous déstabiliser, sans qu’on s’en rende compte.",B1
122,"Hier, je suis allé au festival du « Motocultor ».",B1
123,C’est un festival de métal à côté de Vannes en Bretagne.,B1
124,"Je ne suis pas spécialement fan de la musique métal, mais j’y suis allé par curiosité avec mon ami Bryan.",B1
125,"On a décidé d’aller à ce festival sur un coup de tête, parce qu’on s’était dit que ça faisait longtemps qu’on n’était pas allé à un festival et c’était l’occasion de sortir un peu.",B1
126,"En fait, on a vu que trois ou quatre concerts.",B1
127,"Tout le reste du temps, on l’a passé à discuter avec des gens.",B1
128,"C’était très agréable, on a rencontré plein de monde vraiment sympa.",B1
129,Il y avait une ambiance vraiment bon enfant.,B1
130,"En plus, c’est la première fois que j’ai pu faire un « mur de la mort ».",B1
131,"Eh bien, la foule se sépare en deux, en laissant un espace vide au milieu de la salle.",B1
132,"Ensuite, on se jette l’un sur l’autre comme dans une charge du moyen-âge.",B1
133,"C’était vraiment très amusant, il n’y avait bien sûr aucune violence et personne n’a été blessé.",B1
134,"Ce qui était amusant, c’est que je crois que j’étais le seul du festival à avoir une chemise rouge.",B1
135,Tout le monde était habillé en noir.,B1
136,"Le soir, on a dormi au camping réservé aux festivaliers.",B1
137,"J’ai voulu installer ma tente, mais je l’ai cassée.",B1
138,"Heureusement, j’avais une tente de secours que j’ai pu utiliser.",B1
139,"Le lendemain matin, on était épuisés.",B1
140,Il faut dire qu’on s’était couchés très tard.,B1
141,On a dû rentrer parce qu’on n’avait pris qu’un « Pass un jour ».,B1
142,"Sinon, on serait bien resté plus longtemps.",B1
143,"La prochaine fois, je prendrai le « Pass deux jours » pour pouvoir profiter plus longtemps du festival.",B1
144,C’était vraiment un petit festival avec une ambiance familiale.,B1
145,J’ai hâte d’y retourner.,B1
146,Owen est arrivé à l’aéroport Charles de Gaulle pour la première fois de sa vie.,B1
147,"Il souhaite se rendre à Paris, mais les gares ne sont pas très bien indiquées.",B1
148,Il demande de l’aide à un passant.,B1
149,"Pour les vacances de février, ma femme et moi avons décidé de nous offrir un séjour d’une semaine en Bretagne.",B1
150,"Nous allons y aller avec toute la famille : nous deux, nos trois enfants et le chien.",B1
