id,sentence,difficulty
0,"À la radio, le journaliste Jean-Michel Aphatie a conservé les intonations de son Pays basque natal dans le
Sud de la France.",B1
1,"Une exception, dans un paysage audiovisuel où il y a beaucoup de règles.",B1
2,Peut-on évoquer des sujets sérieux avec un accent du Sud de la France ?,B1
3,"Faire de la philosophie avec des
intonations alsaciennes* ?",B1
4,Développer une pensée profonde en parlant comme les gens du Nord ?,B1
5,"Le seul « beau parler » était celui des élites* parisiennes et ceux qui
rêvaient de s’élever socialement devaient l’adopter.",B1
6,"Avant lui, les journalistes qui avaient gardé l’accent du Midi pré-
sentaient le rugby, la météo ou les spécialités régionales, au nom d’une loi très stricte : « On n’accepte
pas à la Comédie-Française* que les comédiens parlent avec un accent régional », disait, voilà dix ans,
le président de France Télévision Xavier Gouyou-Beauchamps.",B1
7,"« Il est difficile d’imaginer un accent trop
fort pour présenter un journal national.",B1
8,"»
M. Aphatie a été le premier à animer une émission dite « sérieuse » à la radio puis à la télévision.",B1
9,"L’entrée
du journaliste basque dans le monde audiovisuel n’avait donc rien d’évident.",B1
10,"« J’ai longtemps travaillé en presse écrite », indique-t-il.",B1
11,"« C’est en représentant mon journal, Le Parisien,
à l’émission Res Publica, à la radio, que j’ai rencontré Jean-Luc Hess, qui dirigeait alors la station.",B1
12,"En
1999, il m’a proposé de devenir chef du service politique.",B1
13,"»
Curieusement, l’actuel président du groupe Radio-France ne se souvient pas du débat après l’arrivée de M.
Aphatie : « Son arrivée n’a pas été critiquée, car il était évident que Jean-Michel Aphatie avait beaucoup
de présence à la radio.",B1
14,Son accent est si naturel que cela n’a posé aucun problème.,B1
15,"»
Son passage à Radio Luxembourg, en 2003, a été bien moins facile.",B1
16,"Noël Couedel, alors directeur de
l’information, raconte : « Dans l’équipe de direction, j’étais le seul à défendre sa candidature.",B1
17,"» Mais d’autres n’étaient pas d’accord : « Son accent
est tellement fort que l’auditeur va oublier ce qu’il dit », « La politique est un sujet trop sérieux pour être
confié à une intonation aussi chantante* », etc.",B1
18,"À la fin, Philippe Labro, alors vice-président de la station de radio, a expliqué : « Il y a deux possibilités :
soit son accent lui permettra d’être connu et ce sera très bien.",B1
19,"Soit on le trouvera ridicule et ce sera une
catastrophe.",B1
20,"Selon moi, le risque est trop grand pour qu’on le prenne.",B1
21,"»
« J’ai vraiment dû beaucoup insister pour être choisi !",B1
22,"Puis il précise :
« Je n’ai jamais cherché à corriger ou à accentuer mon accent.",B1
23,"Je mets tous mes efforts et toute mon éner-
gie exclusivement dans le travail.",B1
24,"»


La recherche d’information comporte
de nombreux risques et difficultés, allant de l’erreur à la manipulation, et parfois jusqu’à la mise en danger du journaliste.",B1
25,"Les conditions de travail diffèrent consi- dérablement entre le journaliste de « bureau », qui met en forme l’information à partir de *dépêches et de témoignages rapportés, et le reporter qui, sur le terrain, recueille et analyse des données brutes.",B1
26,"Entre eux, beaucoup d’intermédiaires effectuent des choix dans la sélection des sujets ou la façon de les traiter.",B1
27,"A chaque fois, ces décisions impliquent certains risques, physiques ou moraux, pour le journa- liste lui-même ou pour la qualité de l’infor- mation qu’il transmet.",B1
