,sentence,difficulty
0,"On approche nos verres: ""tchin"", ça fait un joli bruit, et hop!",B1
1,"Mais, pris de remords, le buveur s’interroge: pourquoi cogne-t-on les verres au fait ?",B1
2,Mieux aurait valu faire le test avant de servir ce bourbon millésimé.,B1
3,"D’ailleurs, la coutume nous arrive du Moyen Âge, où les verres n’étaient même pas en verre.",B1
4,Il s’agissait de timbales en bois ou en métal.,B1
5,"Au Moyen Âge donc, les mœurs étaient rudes.",B1
6,"On assassinait son voisin et ses cousins pour un oui pour un non, surtout pour un non, d’ailleurs.",B1
7,"Le plus discret était ""le coup de l’apéro"" : on invitait la victime à boire une p’tite eau-de-vie qu’vous m’en direz des nouvelles, on versait dans sa timbale un soupçon d’arsenic (ou tout autre élixir équivalent), et le tour était joué – ou plutôt: le fâcheux était occis.",B1
8,"Heureusement, les preux chevaliers, et même les pas preux, ont fini par trouver une parade pour éviter l’empoisonnement.",B1
9,"Quand vous invitiez quelqu’un à boire un coup, votre ""ami"" vous versait une lichette du contenu de son propre verre dans le vôtre.",B1
10,"Ainsi, si votre belle-sœur avait décidé de vous expédier dans l’autre monde, la méchante se retrouvait elle aussi du voyage.",B1
11,"Le geste a traversé les siècles, relativement intact.",B1
12,"Aujourd’hui on entrechoque encore chaleureusement les verres, sans toutefois échanger les liquides.",B1
13,On voit par là que la confiance règne.,B1
14,"Jusqu’à preuve du contraire…
Enfin, à l’heure où les préoccupations environnementales sont grandissantes, des études suggèrent que l’impact du dérèglement climatique pourrait modifier la durée des saisons.",B1
15,"Une étude de 2021 indique déjà une augmentation de dix-sept jours de la durée moyenne de l’été entre 1952 et 2011, affectant ainsi les autres saisons.",B1
16,Cette observation souligne l’importance d’étudier et de comprendre les interactions entre les phénomènes astronomiques et climatiques pour anticiper et s’adapter aux changements futurs.,B1
17,La différence entre le calendrier astronomique et le calendrier météorologique est également à noter.,B1
18,"Pour les météorologues, l’automne débute systématiquement le 1er septembre et se termine le 30 novembre, basé sur des observations de températures plutôt que sur la position du Soleil.",B1
19,Ces définitions distinctes des saisons démontrent la complexité et la diversité des approches pour comprendre et catégoriser les cycles de la Terre.,B1
20,"L’automne 2023 débute le 23 septembre, c’est deux jours plus tard par rapport à 2021.",B1
21,Cette variabilité des dates d’équinoxe d’automne intrigue et suscite la curiosité.,B1
22,"La raison principale de ce décalage réside dans le phénomène astronomique de l’équinoxe, marquant le début de cette saison où le jour et la nuit ont une durée égale, symbolisant un équilibre temporaire avant que les nuits ne s’allongent progressivement.",B1
23,"La tour Eiffel a été construite sur le Champ-de-Mars, près de la Seine, dans le 7e arrondissement de Paris, à l’occasion de l’Exposition Universelle de 1889 pour célébrer le centenaire de la Révolution française.",B1
24,"Le projet a été dirigé par Gustave Eiffel, un ingénieur français qui avait déjà une renommée internationale à l’époque.",B1
25,"Si l’on s’en tient à l’étymologie du mot « travail » qui vient du latin « tripalium », un ancien instrument de torture, alors, le travail ne contribue définitivement pas au bonheur.",B1
26,"En effet, tout le monde n’a pas la chance de choisir son métier.",B1
27,"Parfois, on est contraint de faire un travail ennuyeux, stressant et sans intérêt.",B1
28,"Pas parce qu’on l’a décidé, mais parce qu’on est obligé de gagner de l’argent pour subvenir à ses besoins ou à ceux de sa famille.",B1
29,"Mais d’un autre côté, même avoir un travail qui ne nous intéresse pas peut être formateur.",B1
30,"En effet, parfois, faire un métier que l’on n’aime pas permet de savoir ce que l’on ne veut pas faire dans la vie, ce qui peut nous motiver à trouver des solutions pour nous en sortir.",B1
31,"De plus, c’est parfois en commençant un nouveau travail que l’on peut se découvrir des passions cachées.",B1
32,Le travail peut aussi donner du sens à la vie des gens.,B1
33,"Beaucoup de personnes s’identifient à leur travail, le travail leur donne une raison de vivre, une identité.",B1
34,"Ensuite, on peut rencontrer des personnes passionnantes au travail.",B1
35,C’est un lieu d’interaction sociale où l’on peut se faire des amis.,B1
36,"Enfin, je connais de nombreuses personnes qui disent ne pas aimer leur travail et qui se plaignent souvent de leur condition.",B1
37,"Mais quand ces personnes prennent des vacances depuis trop longtemps, elles s’ennuient et veulent retourner dans leur entreprise.",B1
38,"En fait, je crois que nombreux d’entre nous ont besoin d’être un peu frustrés au travail pendant la journée pour mieux apprécier ces petits moments une fois à la maison.",B1
39,"Alors, le travail peut contribuer au bonheur même si on ne s’en rend pas toujours compte.",B1
40,"Assis en terrasse dans le quartier touristique du Vieux Lyon, James sirote une limonade bien fraîche.",B1
41,"Avec la chaleur estivale, cette journée d’exploration se révèle très fatigante !",B1
42,"Ce matin, James s’est levé tôt, a loué un vélo et a parcouru les rues de Lyon.",B1
43,"Il a longé les quais de la Saône, traversé la presqu’île, puis rejoint les quais du Rhône.",B1
44,"En chemin, il a pu admirer la magnifique fontaine Bartholdi sur la grande Place des Terreaux.",B1
45,"Il s’est également arrêté dans une boulangerie où il a longuement hésité entre un pain au chocolat, un croissant, et une brioche aux pralines, pâtisserie typiquement lyonnaise.",B1
46,James a ensuite rejoint le quartier moderne de la Confluence où le fleuve de la Saône se jette dans le Rhône.,B1
