id,sentence,difficulty
0,"Le camembert de Normandie est un fromage de vache, au lait cru.",C1
1,"Il tient son nom du village de Camembert, situé en Basse-Normandie, où le fromage aurait été créé selon la légende (peu crédible) par une fermière du nom de Marie Harel à la fin du 18e siècle.",C1
2,"La popularité du camembert, telle qu’on la connaît aujourd’hui, remonterait à la première guerre mondiale, époque où le front s’était stabilisé dans le nord-est de la France.",C1
3,"La ration du soldat français comprenait un fromage venu de Normandie que la plupart des Français ignoraient alors, le camembert.",C1
4,"La Grande Guerre finie, les épiciers des quatre coins de France et de Navarre durent s’approvisionner en camembert pour satisfaire la demande des anciens soldats de retour au pays.",C1
5,"Était-ce par nostalgie, pour son goût  ou pour les deux à la fois, mais les anciens poilus voulaient continuer à manger le fameux camembert qui leur était servi dans l’enfer des tranchées.",C1
6,"C’est ainsi que débuta la consommation de ce fromage à une échelle nationale et même internationale, puisqu’on trouve des camemberts en vente jusque dans les rayons des supermarchés japonais.",C1
7,"Ces fromages n’ont rien à voir, hormis le fait d’en avoir emprunté le nom, la couleur et la forme, avec le camembert de Normandie.",C1
8,"Bien qu’il soit appelé communément camembert, l’appellation protégée (AOP) concerne uniquement le « camembert de Normandie » fabriqué au lait cru et bien différent du camembert aseptisé qu’on retrouve dans la plupart des rayons frais de nos supermarchés.",C1
9,"D’abord, son conditionnement vous donnera une indication précieuse : il est vendu dans une boîte en bois (et non dans une boîte en carton ou en plastique !",C1
10,"Ensuite, son nom doit être « Camembert de Normandie » et doit figurer sur la boîte la mention « AOP » ou « AOC ».",C1
11,"Si vous avez encore des doutes sur le camembert que vous avez acheté, et bien son vieillissement reste un moyen très simple pour savoir si votre camembert a bien été fait avec du lait cru.",C1
12,"En effet, il ne vieillira pas de la même manière.",C1
13,"Sa croûte en vieillissant, prendra des couleurs rouille et brune.",C1
14,Alors que les camemberts faits au lait pasteurisé resteront blancs ou deviendront gris par endroits.,C1
15,Un camembert de Normandie AOP pourra coûter jusqu’à 5 fois le prix d’un camembert ne disposant pas d’appellation contrôlée.,C1
16,À vous maintenant de faire le bon choix !,C1
17,Le fromage est présent à chaque repas entre le plat principal et le dessert.,C1
