id,sentence,difficulty
0,"Pour dissuader ses lycéens de faire les Beaux-arts, l’École du cirque ou de se diriger vers diplôme d’arts du spectacle, un proviseur avait coutume de leur raconter cette histoire : « J’avais deux copains.",C1
1,"Chaque fin de semaine, ils partaient ensemble en randonnée dans les Alpes.",C1
2,"Le bac en poche, le premier d’entre eux choisit d’en faire son métier.",C1
3,"Chaque vendredi, il s’envole vers les plus beaux sommets d’Europe.",C1
4,"Il s’offre les meilleurs guides, gravit les montagnes, s’épanouit... Lequel des deux assouvit le mieux sa passion ?",C1
5,"» Grâce à cette anecdote, le proviseur s’enorgueillissait de n’envoyer aucun bachelier vers des filières bouchées.",C1
6,"Seulement voilà : depuis trois ans, le proviseur se fait plus discret.",C1
7,"Le directeur financier, sans doute moins heureux qu’il l’affichait, a tout abandonné : son travail, son entreprise, sa vie parisienne et son appartement cossu.",C1
8,Il a ouvert un gîte de randonneurs en Haute-Savoie... Ses enfants l’ont traité de fou.,C1
9,Il suffit de se promener dans une campagne française pour prendre la mesure du phénomène.,C1
10,Des panneaux « chambres d’hôtes » ont fleuri partout le long des routes.,C1
11,"En vingt ans, leur nombre est passé de 4 500 à plus de 30 000, selon la direction du Tourisme du ministère de l’Emploi, qui ne recense que les maisons d’hôtes labellisées par les principales organisations touristiques.",C1
12,"Et chaque année, 2 500 Français créent un gîte rural, une aventure pourtant risquée.",C1
13,"Plus qu’à un changement de métier, c’est à un changement de vie auquel aspirent ces individus.",C1
14,"Citadins pour la plupart, ils ont entre 30 et 50 ans, avec une tendance au rajeunissement ; ils sont « installés » sur le plan professionnel, en couple ou seuls.",C1
15,"Ils se disent prêts à quitter travail et confort, à s’éloigner de leurs amis, à « gagner moins pour vivre mieux ».",C1
16,"Une fois leur projet abouti, ils parlent de liberté, d’harmonie, de renaissance.",C1
17,"En kiosque depuis le 1er mars, le magazine Changer tout résume l’ambition de leur reconversion.",C1
18,"« Nous avions l’intention d’appeler ce journal Changer de vie, révèle sa fondatrice.",C1
19,"Mais au dernier moment, nous nous sommes rendus compte que ce titre était déjà déposé par un producteur de télévision.",C1
20,"Le changement personnel, valorisé depuis une trentaine d’années, serait-il devenu une incantation collective ?",C1
21,"Pour la sociologue, auteur de Reconversions professionnelles volontaires, ce mouvement est à la fois individuel et social.",C1
22,"Certes, l’individu, actif et volontaire, est le seul initiateur de sa reconversion.",C1
23,"Mais la société, en érigeant en diktat le changement et la « vocation de soi », en fait une expérience sociale.",C1
24,"Ce phénomène, poursuit la sociologue, résulte à la fois de la crise de l’emploi, qui encourage chacun à être plus mobile, et d’un bouleversement des valeurs qui cimentent la société.",C1
25,"Lorsqu’une culture est assimilée par une autre, la langue menacée subit un processus qui passe généralement par trois étapes.",C1
26,"Dans un premier temps, les locuteurs subissent une très forte pression – politique, sociale ou économique – pour parler la langue dominante.",C1
27,"Ce phénomène peut venir d’en haut, sous forme de mesures d’incitation, de recommandations ou de lois, ou bien de la base, par la pression du groupe ou en raison de la nécessité économique.",C1
28,"On maîtrise de mieux en mieux la nouvelle langue, tout en étant toujours compétent dans l’ancienne.",C1
29,"Puis, souvent très rapidement, le bilinguisme commence à s’estomper, et l’ancienne langue cède le pas à la nouvelle.",C1
30,"Cela débouche sur la troisième phase, au cours de laquelle la jeune génération s’identifie de plus en plus à la nouvelle langue, l’ancienne ayant à ses yeux moins d’intérêt.",C1
31,Il arrive souvent à ce stade que parents et enfants éprouvent une certaine honte à utiliser l’ancienne langue.,C1
32,"Les familles qui continuent de la parler voient diminuer le nombre de leurs interlocuteurs et, le domaine d’usage se rétrécissant, cela aboutit à la création de « dialectes familiaux ».",C1
33,"Dans le cas de beaucoup de langues, il est trop tard pour faire quoi que ce soit, parce que les locuteurs sont soit trop peu nombreux soit trop âgés, ou bien parce que la communauté linguistique est trop occupée par ailleurs à essayer de survivre.",C1
34,Mais bien d’autres langues n’en sont pas à ce stade et on peut encore dans bien des cas les revitaliser.,C1
35,"Mais il faut pour cela qu’un certain nombre de conditions soient réunies : la communauté elle-même doit avoir envie de sauver sa langue ; la culture plus vaste dans laquelle elle s’inscrit doit respecter les langues minoritaires ; et il faut des fonds pour financer les cours, le matériel pédagogique et les enseignants.",C1
36,[...] La disparition des langues devrait nous préoccuper au même titre que celle des espèces animales ou végétales.,C1
37,Des décennies de sensibilisation à l’écologie ont fini par nous convaincre que la biodiversité est une bonne chose.,C1
38,La diversité linguistique n’a malheureusement pas bénéficié de la même publicité.,C1
39,"La diversité occupe une place centrale dans la théorie de l’évolution, car elle permet à une espèce de survivre dans des milieux différents et l’uniformisation présente des dangers pour la survie à long terme d’une espèce.",C1
40,"[...] Si la multiplicité des cultures est une condition nécessaire pour un développement humain réussi, alors la préservation de la diversité linguistique est essentielle, puisque les langues écrites et orales sont le principal mode de transmission des cultures.",C1
41,"Ce processus d’homogénéisation s’est renforcé avec l’industrialisation et le progrès scientifique, qui ont imposé de nouveaux modes de communication, rapides, simples et pratiques.",C1
42,La diversité des langues a été alors perçue comme une entrave aux échanges et à la diffusion du savoir.,C1
