id,sentence,difficulty
3,"Ce n'est pas étonnant, car c'est une saison mystérieuse",A2
6,"Madame, Monsieur, Votre fils Léo arrive tous les jours en retard à l'école.",A1
7,Comment tu as trouvé le repas de ce midi,A2
9,"Je ne peux pas vous laisser dire cela, Madame.",A2
10,Est-ce que ça suffit?,A1
11,Tu as rempli le pot d'eau et tu as mis des glaçons.,A2
14,Un enfant est drôle.,A1
15,"Le jeudi est comme le mardi, on ne fait qu'aller à l'école",A2
17,Je dois acheter un tube de peinture bleue pour finir ce tableau.,A1
18,"Elle s'appelle Joy, on parlait de tout, on s'entendait super bien !",A2
19,"Elle a trois enfants, deux garçons et une fille.",A1
24,"Quand l'ange apparaît la deuxième fois, que conseille-t-il au pêcheur ?",A2
26,Ils aiment passer des journées ensemble au bord de la mer,A1
27,Il est 17h,A1
30,Je suis tout à fait d'accord.,A1
31,Un orphelin : un orphelin est un enfant qui a perdu un de ses deux parents ou ses deux parents.,A2
32,"Excusez-moi, je me suis perdu. Pouvez-vous m'aider ?",A1
33,Mais le monde ne fonctionne pas toujours ainsi.,A2
34,J'ai perdu la boîte dans laquelle j'avais mis mes bijoux.,A2
35,Elle a décidé de s'y installer.,A2
38,Tu aimes ma nouvelle robe ?,A1
39,"Il vit à Paris avec ses parents et sa petite soeur Julie, âgée de 8 ans.",A1
48,Quelle est la date du mariage ?,A1
49,"Le soir en hiver, j'aime bien lire près de la cheminée et faire de la cuisine.",A1
51,"Ici, c'est mon bureau.",A1
53,J'aime bien faire la cuisine aussi de temps en temps.,A1
54,Et toi ?,A1
61,Tu es en train de laver la vaisselle à la main ?,A2
67,"Non, j'ai terminé mes études en juin dernier.",A2
70,N'importe quoi.,A1
73,Elle a passé la nuit à réviser le rapport annuel.,A2
75,"Je vois bien que tu es triste, tu ne dis rien, tu ne souris pas.",A2
80,"Moi, c'est que par rapport à mon nom de famille",A2
81,J'adore cette petite histoire.,A1
83,L'Esprit de l'hiver décide de punir les arbres qui n'ont pas apporter de l'aide à l'oiseau.,A2
84,Elle a posé son sac sur une chaise.,A2
91,"Le lundi, David reste toute la journée à l'école. Souvent, le soir, il pratique une activité musicale : le piano.",A1
94,Parfois l'activité peut se faire à domicile.,A1
95,C'était sa façon de le récompenser pour sa gentillesse envers le petit oiseau.,A2
97,"Oui, mais ce n'est pas trop long ?",A1
102,Je m'inquiète beaucoup pour notre relation.,A2
103,Il décide d'aller voir de plus près . Vous avez choisi votre plus beau fauteuil ?,A2
107,"Parfois, elle fait une bonne tarte aux fruits et elle invite des amis pour le goûter",A1
108,"Vous savez, je ne l'utilise que pour les cas d'urgence !",A2
117,"Bon, peut-être qu'il y en pas encore beaucoup mais de plus en plus.",A2
